round,party0_index,party0_name,party1_index,party1_name,proj_dist,payload_dist,party0_norm_eval,party1_norm_eval,party0_sorted_key_eval,party1_sorted_key_eval,party0_unique_token_key_eval,party1_unique_token_key_eval,equivalence_reason
0,12,Julen Julen Gutiérrez,33,Julen Jan Gutiérrez,0,-1,JULEN JULEN GUTIERREZ,JULEN JAN GUTIERREZ,GUTIERREZ JULEN JULEN,GUTIERREZ JAN JULEN,GUTIERREZ JULEN,GUTIERREZ JAN JULEN,missing_or_extra_token
0,12,Julen Julen Gutiérrez,39,Julen Hugo Gutierrez,0,-1,JULEN JULEN GUTIERREZ,JULEN HUGO GUTIERREZ,GUTIERREZ JULEN JULEN,GUTIERREZ HUGO JULEN,GUTIERREZ JULEN,GUTIERREZ HUGO JULEN,missing_or_extra_token
0,12,Julen Julen Gutiérrez,31,Julen Nkl Gutiérrez,0,-1,JULEN JULEN GUTIERREZ,JULEN NKL GUTIERREZ,GUTIERREZ JULEN JULEN,GUTIERREZ JULEN NKL,GUTIERREZ JULEN,GUTIERREZ JULEN NKL,missing_or_extra_token
0,23,Julen Emma Gutiérrez,47,Julen Emma Gutierrez,0,-1,JULEN EMMA GUTIERREZ,JULEN EMMA GUTIERREZ,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,EMMA GUTIERREZ JULEN,exact_normalised_name
0,652,Ida  Kristensen,73,Ida  hristensen,0,-1,IDA KRISTENSEN,IDA HRISTENSEN,IDA KRISTENSEN,HRISTENSEN IDA,IDA KRISTENSEN,HRISTENSEN IDA,near_token_edit_distance_le_1
0,92,Mark Dmitry Petrov,76,Mark Dmitry Petrov,0,-1,MARK DMITRY PETROV,MARK DMITRY PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,DMITRY MARK PETROV,exact_normalised_name
0,1271,Grace  Rose,824,Grace  Rose,0,-1,GRACE ROSE,GRACE ROSE,GRACE ROSE,GRACE ROSE,GRACE ROSE,GRACE ROSE,exact_normalised_name
0,263,Zǐhán Zǐhán Ho,274,Zǐhán. Y. Ho,0,-1,ZIHAN ZIHAN HO,ZIHAN Y HO,HO ZIHAN ZIHAN,HO Y ZIHAN,HO ZIHAN,HO Y ZIHAN,missing_or_extra_token
0,265,Zǐhán Yǔtóng Ho,267,Zǐhán Yǔtóng Ho,0,-1,ZIHAN YUTONG HO,ZIHAN YUTONG HO,HO YUTONG ZIHAN,HO YUTONG ZIHAN,HO YUTONG ZIHAN,HO YUTONG ZIHAN,exact_normalised_name
0,267,Zǐhán Yǔtóng Ho,265,Zihan Yutong Ho,0,-1,ZIHAN YUTONG HO,ZIHAN YUTONG HO,HO YUTONG ZIHAN,HO YUTONG ZIHAN,HO YUTONG ZIHAN,HO YUTONG ZIHAN,exact_normalised_name
0,326,Hasan  Kılıç,1863,Kılıç Hasan,0,-1,HASAN KILIC,KILIC HASAN,HASAN KILIC,HASAN KILIC,HASAN KILIC,HASAN KILIC,token_order_equivalent
0,1863,Hasan  Kılıç,326,Kılıç Hasan,0,-1,HASAN KILIC,KILIC HASAN,HASAN KILIC,HASAN KILIC,HASAN KILIC,HASAN KILIC,token_order_equivalent
0,346,Matija Lea Stojanović,367,Matija Stojanović,0,-1,MATIJA LEA STOJANOVIC,MATIJA STOJANOVIC,LEA MATIJA STOJANOVIC,MATIJA STOJANOVIC,LEA MATIJA STOJANOVIC,MATIJA STOJANOVIC,missing_or_extra_token
