round,party0_index,party0_name,party1_index,party1_name,proj_dist,payload_dist,party0_norm_eval,party1_norm_eval,party0_sorted_key_eval,party1_sorted_key_eval,party0_unique_token_key_eval,party1_unique_token_key_eval,equivalence_reason
0,0,Julen Ane Gutiérrez,0,Gutiérrez Julen Ane,0,-1,JULEN ANE GUTIERREZ,GUTIERREZ JULEN ANE,ANE GUTIERREZ JULEN,ANE GUTIERREZ JULEN,ANE GUTIERREZ JULEN,ANE GUTIERREZ JULEN,index_match
0,1,Artyom  Bogdanov,1,Atryom  Bogdanov,0,-1,ARTYOM BOGDANOV,ATRYOM BOGDANOV,ARTYOM BOGDANOV,ATRYOM BOGDANOV,ARTYOM BOGDANOV,ATRYOM BOGDANOV,index_match
0,2,Huseyn  Aliyev,2,Aliyev Huseyn,0,-1,HUSEYN ALIYEV,ALIYEV HUSEYN,ALIYEV HUSEYN,ALIYEV HUSEYN,ALIYEV HUSEYN,ALIYEV HUSEYN,index_match
0,1498,Huseyn Ali Huseynov,1498,Huseynov Huseyn Ali,0,-1,HUSEYN ALI HUSEYNOV,HUSEYNOV HUSEYN ALI,ALI HUSEYN HUSEYNOV,ALI HUSEYN HUSEYNOV,ALI HUSEYN HUSEYNOV,ALI HUSEYN HUSEYNOV,index_match
0,39,Julen Hugo Gutiérrez,39,Julen Hugo Gutierrez,0,-1,JULEN HUGO GUTIERREZ,JULEN HUGO GUTIERREZ,GUTIERREZ HUGO JULEN,GUTIERREZ HUGO JULEN,GUTIERREZ HUGO JULEN,GUTIERREZ HUGO JULEN,index_match
0,33,Julen Jan Gutiérrez,33,Julen Jan Gutiérrez,0,-1,JULEN JAN GUTIERREZ,JULEN JAN GUTIERREZ,GUTIERREZ JAN JULEN,GUTIERREZ JAN JULEN,GUTIERREZ JAN JULEN,GUTIERREZ JAN JULEN,index_match
0,5,Sebastián  Mendoza,5,Mendoza Sebastián,0,-1,SEBASTIAN MENDOZA,MENDOZA SEBASTIAN,MENDOZA SEBASTIAN,MENDOZA SEBASTIAN,MENDOZA SEBASTIAN,MENDOZA SEBASTIAN,index_match
0,309,Ji-ho  Ahn,309,Ji-ho  Ahn,0,-1,JI HO AHN,JI HO AHN,AHN HO JI,AHN HO JI,AHN HO JI,AHN HO JI,index_match
0,8,Julen Izaro Gutiérrez,8,Julen Izaro Gutierrez,0,-1,JULEN IZARO GUTIERREZ,JULEN IZARO GUTIERREZ,GUTIERREZ IZARO JULEN,GUTIERREZ IZARO JULEN,GUTIERREZ IZARO JULEN,GUTIERREZ IZARO JULEN,index_match
0,9,Chun-hung  Lin,9,Chan-hung  Lin,0,-1,CHUN HUNG LIN,CHAN HUNG LIN,CHUN HUNG LIN,CHAN HUNG LIN,CHUN HUNG LIN,CHAN HUNG LIN,index_match
